"exposure","outcome","model","term","beta","lo","hi","p","p_trend"
"sum_dehp_mol_z","homa_ir_log","M2","q_Q2_vs_Q1",0.0391883793157328,-0.0416172370401178,0.119993995671583,0.344810450119511,0.00703308494485225
"sum_dehp_mol_z","homa_ir_log","M2","q_Q3_vs_Q1",0.0683881422042127,-0.0221337170258036,0.158910001434229,0.142752125726569,0.00703308494485225
"sum_dehp_mol_z","homa_ir_log","M2","q_Q4_vs_Q1",0.12960559959424,0.0425207195320806,0.216690479656399,0.00462893122969953,0.00703308494485225
"sum_hmw_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.121800189258418,0.00632414357265643,0.23727623494418,0.0415418374479807,0.000657858523234636
"sum_hmw_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.191296401403494,0.0791038731985468,0.303488929608442,0.00120842365650657,0.000657858523234636
"sum_hmw_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.236646113643196,0.126211120865038,0.347081106421354,6.2138978722923e-05,0.000657858523234636
"sum_hmw_z","homa_ir_log","M1","q_Q2_vs_Q1",0.101436775710954,-0.0139134596832652,0.216787011105174,0.088418267419894,0.00144492357241687
"sum_hmw_z","homa_ir_log","M1","q_Q3_vs_Q1",0.166855025195445,0.0524517723808234,0.281258278010066,0.00535046808483718,0.00144492357241687
"sum_hmw_z","homa_ir_log","M1","q_Q4_vs_Q1",0.218901454073287,0.104890828371938,0.332912079774635,0.000307719494599803,0.00144492357241687
"sum_hmw_z","homa_ir_log","M2","q_Q2_vs_Q1",0.0209783215650538,-0.0683083316753745,0.110264974805482,0.646447220123531,0.00558255760912729
"sum_hmw_z","homa_ir_log","M2","q_Q3_vs_Q1",0.0454201817099679,-0.0406370428102942,0.13147740623023,0.304154871918751,0.00558255760912729
"sum_hmw_z","homa_ir_log","M2","q_Q4_vs_Q1",0.127434627517605,0.0379016171475077,0.216967637887701,0.00664584977113464,0.00558255760912729
"sum_lmw_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.104783233722788,-0.00527225611001671,0.214838723555592,0.065247624449112,0.181945708506675
"sum_lmw_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.105518754445499,-0.0148413837006697,0.225878892591668,0.0891396592278241,0.181945708506675
"sum_lmw_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.122409490303795,-0.00463252729440082,0.24945150790199,0.0621403064823,0.181945708506675
"sum_lmw_z","homa_ir_log","M1","q_Q2_vs_Q1",0.0787532709903087,-0.0281471647864543,0.185653706767072,0.15243538692753,0.331570347087435
"sum_lmw_z","homa_ir_log","M1","q_Q3_vs_Q1",0.0921373274885411,-0.026174191387504,0.210448846364586,0.130626096371881,0.331570347087435
"sum_lmw_z","homa_ir_log","M1","q_Q4_vs_Q1",0.0935545780997181,-0.0378977210846898,0.225006877284126,0.166670952334867,0.331570347087435
"sum_lmw_z","homa_ir_log","M2","q_Q2_vs_Q1",0.00318317828994357,-0.0915206435402357,0.0978870001201228,0.947644603082768,0.782736106219669
"sum_lmw_z","homa_ir_log","M2","q_Q3_vs_Q1",0.0178089860599529,-0.0746740474045359,0.110292019524442,0.706894459853446,0.782736106219669
"sum_lmw_z","homa_ir_log","M2","q_Q4_vs_Q1",0.0131601704367207,-0.0759099931026903,0.102230333976132,0.772907363757117,0.782736106219669
