"exposure","outcome","model","term","OR","lo","hi","p","p_trend"
"sum_dehp_mol_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.43819721404505,1.03780314184574,1.99306703081305,0.0318008160970832,0.0107729234603823
"sum_dehp_mol_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.79302616658341,1.28882174986161,2.4944821379667,0.000830157288468698,0.0107729234603823
"sum_dehp_mol_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.76776408718079,1.27664261986529,2.44781884867345,0.000931350543097263,0.0107729234603823
"sum_dehp_mol_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.45147542310158,0.978270724413911,2.15357656248999,0.0680238754095523,0.102770270233347
"sum_dehp_mol_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.70111925756196,1.08161322095589,2.6754542865986,0.0241832817054244,0.102770270233347
"sum_dehp_mol_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.56113543071641,1.07780882986234,2.26120232597222,0.0209964176907668,0.102770270233347
"sum_hmw_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.56127741332854,1.11490813920941,2.18635695233007,0.011082048881668,0.0105828483873485
"sum_hmw_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.9578505426074,1.43629743260563,2.66879175592078,5.1457532318746e-05,0.0105828483873485
"sum_hmw_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.84653512486605,1.32008086344203,2.582941743791,0.000550499813209206,0.0105828483873485
"sum_hmw_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.49932669328842,1.06165437359376,2.11743161345215,0.0239159344006085,0.0125747084132903
"sum_hmw_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.87267794213539,1.36122618243504,2.57629681254519,0.00022427952497862,0.0125747084132903
"sum_hmw_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.79980906218759,1.28217865753354,2.52641286867454,0.00103969712190867,0.0125747084132903
