"exposure","cutoff","outcome","model_spec","subset","estimate","conf.low","conf.high","p.value","n","direction","sig","effect_sign","spec_id","estimate_pretty","p_pretty"
"sum_lmw","Q4vsQ1","homa_ir_log","M1","Male",0.129250124224908,-0.0557115384393703,0.314211786889187,0.168313880999996,1130,"positive",FALSE,1,59,"0.129 (-0.056-0.314)","0.168"
"sum_hmw","Q4vsQ1","homa_ir_log","M2","Male",0.129518428466864,0.00610009338883769,0.252936763544891,0.0399624721302133,1130,"positive",TRUE,1,60,"0.130 (0.006-0.253)","0.04"
"sum_dehp_mol","Q4vsQ1","homa_ir_log","M2","Male",0.133339880058736,0.0176343124949414,0.24904544762253,0.0245041531732905,1130,"positive",TRUE,1,61,"0.133 (0.018-0.249)","0.0245"
"sum_dehp_mol","Q4vsQ1","homa_ir_log","M2","Fasting>=10h",0.133637881473784,0.0495446390874762,0.217731123860093,0.00224158050300189,2005,"positive",TRUE,1,62,"0.134 (0.050-0.218)","0.00224"
"sum_dehp_mol","Q2vsQ1","homa_ir_log","M1","Fasting>=10h",0.136721214115332,0.0254831783632185,0.247959249867445,0.0166033472009169,2005,"positive",TRUE,1,63,"0.137 (0.025-0.248)","0.0166"
"sum_lmw","Q3vsQ1","homa_ir_log","M1","Male",0.142258491346465,-0.0182842359682109,0.302801218661141,0.0816858452987787,1130,"positive",FALSE,1,64,"0.142 (-0.018-0.303)","0.0817"
"sum_dehp_mol","Q4vsQ1","homa_ir_log","M2","Age<60",0.142364990030865,0.0402259095423504,0.244504070519379,0.00694092264088611,1620,"positive",TRUE,1,65,"0.142 (0.040-0.245)","0.00694"
"sum_hmw","Q3vsQ1","homa_ir_log","M2","Male",0.14458638200066,0.00508688962357282,0.284085874377746,0.04240966828202,1130,"positive",TRUE,1,66,"0.145 (0.005-0.284)","0.0424"
"sum_hmw","Q4vsQ1","homa_ir_log","M2","Age<60",0.147528558503765,0.0424084053783093,0.252648711629221,0.00658075146780873,1620,"positive",TRUE,1,67,"0.148 (0.042-0.253)","0.00658"
"sum_dehp_mol","Q2vsQ1","homa_ir_log","M1","Age<60",0.164539080538652,0.0280171408971904,0.301061020180114,0.0187551282846871,1620,"positive",TRUE,1,68,"0.165 (0.028-0.301)","0.0188"
"sum_hmw","Q3vsQ1","homa_ir_log","M1","Crude",0.166855025195445,0.0508018027044679,0.282908247686422,0.00535046808483716,2239,"positive",TRUE,1,69,"0.167 (0.051-0.283)","0.00535"
"sum_hmw","Q2vsQ1","homa_ir_log","M1","Male",0.169728076625446,-0.0142999780480251,0.353756131298918,0.0701825537115539,1130,"positive",FALSE,1,70,"0.170 (-0.014-0.354)","0.0702"
"sum_dehp_mol","Q3vsQ1","homa_ir_log","M1","Crude",0.16979949092263,0.0566376762094123,0.282961305635848,0.00372014786774034,2239,"positive",TRUE,1,71,"0.170 (0.057-0.283)","0.00372"
"sum_hmw","Q3vsQ1","homa_ir_log","M1","Fasting>=10h",0.172744336024465,0.056047417396774,0.289441254652157,0.0041869745611861,2005,"positive",TRUE,1,72,"0.173 (0.056-0.289)","0.00419"
"sum_hmw","Q2vsQ1","homa_ir_log","M1","Age<60",0.173250289425619,0.027530125196503,0.318970453654735,0.020363687813127,1620,"positive",TRUE,1,73,"0.173 (0.028-0.319)","0.0204"
"sum_dehp_mol","Q3vsQ1","homa_ir_log","M2","Male",0.179154475241431,0.0530834609898018,0.30522548949306,0.00597164122820013,1130,"positive",TRUE,1,74,"0.179 (0.053-0.305)","0.00597"
"sum_dehp_mol","Q2vsQ1","homa_ir_log","M1","Male",0.183235805563335,-0.000300144264448576,0.366771755391119,0.0503673252181238,1130,"positive",FALSE,1,75,"0.183 (-0.000-0.367)","0.0504"
"sum_dehp_mol","Q3vsQ1","homa_ir_log","M1","Fasting>=10h",0.185119779976342,0.0688722178326014,0.301367342120082,0.00214449955463181,2005,"positive",TRUE,1,76,"0.185 (0.069-0.301)","0.00214"
"sum_hmw","Q4vsQ1","homa_ir_log","M1","Crude",0.218901454073287,0.103246521321557,0.334556386825016,0.000307719494599802,2239,"positive",TRUE,1,77,"0.219 (0.103-0.335)","0.000308"
"sum_dehp_mol","Q4vsQ1","homa_ir_log","M1","Crude",0.224060432072985,0.111731219148775,0.336389644997196,0.000151950917356678,2239,"positive",TRUE,1,78,"0.224 (0.112-0.336)","0.000152"
"sum_hmw","Q4vsQ1","homa_ir_log","M1","Fasting>=10h",0.236850968787216,0.119539682323821,0.35416225525061,0.000127999234385867,2005,"positive",TRUE,1,79,"0.237 (0.120-0.354)","0.000128"
