"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"all","Treat All",2239,0.33,0.474318892362662,0.474318892362662,0.525681107637338,0,0.21540133188457
"all","Treat All",2239,0.34,0.474318892362662,0.474318892362662,0.525681107637338,0,0.203513473276761
"all","Treat All",2239,0.35,0.474318892362662,0.474318892362662,0.525681107637338,0,0.191259834404095
"all","Treat All",2239,0.36,0.474318892362662,0.474318892362662,0.525681107637338,0,0.178623269316659
"all","Treat All",2239,0.37,0.474318892362662,0.474318892362662,0.525681107637338,0,0.165585543432797
"all","Treat All",2239,0.38,0.474318892362662,0.474318892362662,0.525681107637338,0,0.152127245746229
"all","Treat All",2239,0.39,0.474318892362662,0.474318892362662,0.525681107637338,0,0.138227692397806
"all","Treat All",2239,0.4,0.474318892362662,0.474318892362662,0.525681107637338,0,0.123864820604436
"all","Treat All",2239,0.41,0.474318892362662,0.474318892362662,0.525681107637338,0,0.109015071801122
"all","Treat All",2239,0.42,0.474318892362662,0.474318892362662,0.525681107637338,0,0.0936532626942447
"all","Treat All",2239,0.43,0.474318892362662,0.474318892362662,0.525681107637338,0,0.0777524427415122
"all","Treat All",2239,0.44,0.474318892362662,0.474318892362662,0.525681107637338,0,0.0612837363618963
"all","Treat All",2239,0.45,0.474318892362662,0.474318892362662,0.525681107637338,0,0.0442161679321126
"all","Treat All",2239,0.46,0.474318892362662,0.474318892362662,0.525681107637338,0,0.0265164673382627
"all","Treat All",2239,0.47,0.474318892362662,0.474318892362662,0.525681107637338,0,0.00814885351445643
"all","Treat All",2239,0.48,0.474318892362662,0.474318892362662,0.525681107637338,0,-0.0109252069948809
"all","Treat All",2239,0.49,0.474318892362662,0.474318892362662,0.525681107637338,0,-0.0307472698771335
"all","Treat All",2239,0.5,0.474318892362662,0.474318892362662,0.525681107637338,0,-0.0513622152746762
"none","Treat None",2239,0.05,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.06,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.07,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.08,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.09,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.1,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.11,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.12,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.13,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.14,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.15,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.16,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.17,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.18,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.19,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.2,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.21,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.22,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.23,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.24,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.25,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.26,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.27,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.28,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.29,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.3,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.31,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.32,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.33,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.34,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.35,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.36,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.37,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.38,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.39,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.4,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.41,0.474318892362662,0,0,0,0
